"","yearmon","nombre.Agencia","Total"
"245",2011-06-01,"EDS LUARCOR NEIVA",32
"246",2011-07-01,"EDS LUARCOR NEIVA",40
"247",2011-01-01,"EDS TERMINAL VILLAVI",46.75
"248",2011-02-01,"EDS TERMINAL VILLAVI",32.25
"249",2011-03-01,"EDS TERMINAL VILLAVI",41.5
"250",2011-04-01,"EDS TERMINAL VILLAVI",50
"251",2011-05-01,"EDS TERMINAL VILLAVI",21.75
"252",2011-06-01,"EDS TERMINAL VILLAVI",38.5
"253",2011-07-01,"EDS TERMINAL VILLAVI",40.25
"254",2011-08-01,"EDS TERMINAL VILLAVI",28.75
"255",2013-10-01,"EL QUIMBO",12705.53
"256",2013-11-01,"EL QUIMBO",7500.816
"257",2013-12-01,"EL QUIMBO",4565.498
"258",2014-02-01,"EL QUIMBO",9020.984
"259",2014-03-01,"EL QUIMBO",6710.734
"260",2014-04-01,"EL QUIMBO",-1705.192
"261",2014-05-01,"EL QUIMBO",5630.62
"262",2014-06-01,"EL QUIMBO",5898.644
"263",2014-07-01,"EL QUIMBO",4800.524
"264",2014-08-01,"EL QUIMBO",5005.548
"265",2014-09-01,"EL QUIMBO",5115.558
"266",2014-10-01,"EL QUIMBO",6545.718
"267",2014-11-01,"EL QUIMBO",5720.626
"268",2014-12-01,"EL QUIMBO",4840.526
"269",2015-01-01,"EL QUIMBO",3465.066
"270",2015-02-01,"EL QUIMBO",4675.084
"271",2015-03-01,"EL QUIMBO",4890.078
"272",2011-01-01,"FLORENCIA",3945.09
"273",2011-02-01,"FLORENCIA",3449.31
"274",2011-03-01,"FLORENCIA",5753.096
"275",2011-04-01,"FLORENCIA",1524.036
"276",2011-05-01,"FLORENCIA",2907.054
"277",2011-06-01,"FLORENCIA",2982.816
"278",2011-07-01,"FLORENCIA",4398.09
"279",2011-08-01,"FLORENCIA",3384.054
"280",2011-09-01,"FLORENCIA",3506.078
"281",2011-10-01,"FLORENCIA",4451.578
"282",2011-11-01,"FLORENCIA",3999.072
"283",2011-12-01,"FLORENCIA",3981.078
"284",2012-01-01,"FLORENCIA",2821.072
"285",2012-02-01,"FLORENCIA",3496.084
"286",2012-03-01,"FLORENCIA",2855.024
"287",2012-04-01,"FLORENCIA",3296.328
"288",2012-05-01,"FLORENCIA",4212.816
"289",2012-06-01,"FLORENCIA",4417.066
"290",2012-07-01,"FLORENCIA",3103.322
"291",2012-08-01,"FLORENCIA",3760.572
"292",2012-09-01,"FLORENCIA",3163.036
"293",2012-10-01,"FLORENCIA",3634.566
"294",2012-11-01,"FLORENCIA",3526.036
"295",2012-12-01,"FLORENCIA",4137.072
"296",2013-01-01,"FLORENCIA",3459.542
"297",2013-02-01,"FLORENCIA",3457.042
"298",2013-03-01,"FLORENCIA",3629.078
"299",2013-04-01,"FLORENCIA",2845.554
"300",2013-05-01,"FLORENCIA",3016.072
"301",2013-06-01,"FLORENCIA",2728.06
"302",2013-07-01,"FLORENCIA",3040.566
"303",2013-08-01,"FLORENCIA",1588.536
"304",2013-09-01,"FLORENCIA",2369.024
"305",2013-10-01,"FLORENCIA",3827.054
"306",2013-11-01,"FLORENCIA",4279.066
"307",2013-12-01,"FLORENCIA",4020.06
"308",2014-01-01,"FLORENCIA",4458.084
"309",2014-02-01,"FLORENCIA",4574.066
"310",2014-03-01,"FLORENCIA",4177.072
"311",2014-04-01,"FLORENCIA",4540.59
"312",2014-05-01,"FLORENCIA",3757.536
"313",2014-06-01,"FLORENCIA",4008.56
"314",2014-07-01,"FLORENCIA",4344.596
"315",2014-08-01,"FLORENCIA",3228.054
"316",2014-09-01,"FLORENCIA",2963.114
"317",2014-10-01,"FLORENCIA",4020.054
"318",2014-11-01,"FLORENCIA",3757.078
"319",2014-12-01,"FLORENCIA",3702.554
"320",2015-01-01,"FLORENCIA",4056.63
"321",2015-02-01,"FLORENCIA",4558.512
"322",2015-03-01,"FLORENCIA",2501
"323",2011-01-01,"IBAGUE",18898.377
"324",2011-02-01,"IBAGUE",19825.192
"325",2011-03-01,"IBAGUE",25840.268
"326",2011-04-01,"IBAGUE",21547.23
"327",2011-05-01,"IBAGUE",10938.846
"328",2011-06-01,"IBAGUE",11697.115
"329",2011-07-01,"IBAGUE",12772.717
"330",2011-08-01,"IBAGUE",11576.569
"331",2011-09-01,"IBAGUE",12473.849
"332",2011-10-01,"IBAGUE",13390.935
"333",2011-11-01,"IBAGUE",13650.646
"334",2011-12-01,"IBAGUE",11774.518
"335",2012-01-01,"IBAGUE",14214.555
"336",2012-02-01,"IBAGUE",11149.236
"337",2012-03-01,"IBAGUE",13952.219
"338",2012-04-01,"IBAGUE",10708.221
"339",2012-05-01,"IBAGUE",13175.924
"340",2012-06-01,"IBAGUE",12462.401
"341",2012-07-01,"IBAGUE",12302.294
"342",2012-08-01,"IBAGUE",12597.788
"343",2012-09-01,"IBAGUE",9791.861
"344",2012-10-01,"IBAGUE",8760.848
"345",2012-11-01,"IBAGUE",10622.408
"346",2012-12-01,"IBAGUE",11972.811
"347",2013-01-01,"IBAGUE",10294.084
"348",2013-02-01,"IBAGUE",11003.024
"349",2013-03-01,"IBAGUE",11878.324
"350",2013-04-01,"IBAGUE",12097.48
"351",2013-05-01,"IBAGUE",10287.235
"352",2013-06-01,"IBAGUE",10132.643
"353",2013-07-01,"IBAGUE",13425.17
"354",2013-08-01,"IBAGUE",11182.386
"355",2013-09-01,"IBAGUE",13093.508
"356",2013-10-01,"IBAGUE",13855.587
"357",2013-11-01,"IBAGUE",13048.466
"358",2013-12-01,"IBAGUE",17090.784
"359",2014-01-01,"IBAGUE",14601.806
"360",2014-02-01,"IBAGUE",12990.924
"361",2014-03-01,"IBAGUE",11952.444
"362",2014-04-01,"IBAGUE",20098.796
"363",2014-05-01,"IBAGUE",10364.336
"364",2014-06-01,"IBAGUE",11156.01
"365",2014-07-01,"IBAGUE",16875.338
"366",2014-08-01,"IBAGUE",13969.426
"367",2014-09-01,"IBAGUE",10021.48
"368",2014-10-01,"IBAGUE",11109.489
"369",2014-11-01,"IBAGUE",11403.965
"370",2014-12-01,"IBAGUE",11108.633
"371",2015-01-01,"IBAGUE",9608.738
"372",2015-02-01,"IBAGUE",14738.862
"373",2015-03-01,"IBAGUE",8793.199
"374",2014-04-01,"MASERING",5445.594
"375",2014-05-01,"MASERING",8256.896
"376",2014-06-01,"MASERING",2750.3
"377",2011-01-01,"NEIVA",15072.443
"378",2011-02-01,"NEIVA",15629.204
"379",2011-03-01,"NEIVA",32640.764
"380",2011-04-01,"NEIVA",17256.008
"381",2011-05-01,"NEIVA",11627.078
"382",2011-06-01,"NEIVA",14663.162
"383",2011-07-01,"NEIVA",14715.06
"384",2011-08-01,"NEIVA",14610.159
"385",2011-09-01,"NEIVA",15348.586
"386",2011-10-01,"NEIVA",15742.307
"387",2011-11-01,"NEIVA",16052.357
"388",2011-12-01,"NEIVA",15562.904
"389",2012-01-01,"NEIVA",14961.444
"390",2012-02-01,"NEIVA",12690.767
"391",2012-03-01,"NEIVA",15601.102
"392",2012-04-01,"NEIVA",14225.459
"393",2012-05-01,"NEIVA",15225.905
"394",2012-06-01,"NEIVA",16943.001
"395",2012-07-01,"NEIVA",13297.633
"396",2012-08-01,"NEIVA",13490.723
"397",2012-09-01,"NEIVA",15404.772
"398",2012-10-01,"NEIVA",13638.908
"399",2012-11-01,"NEIVA",15834.97
"400",2012-12-01,"NEIVA",15869.156
"401",2013-01-01,"NEIVA",11505.166
"402",2013-02-01,"NEIVA",13165.375
"403",2013-03-01,"NEIVA",11807.962
"404",2013-04-01,"NEIVA",11223.841
"405",2013-05-01,"NEIVA",11129.561
"406",2013-06-01,"NEIVA",10420.713
"407",2013-07-01,"NEIVA",14822.131
"408",2013-08-01,"NEIVA",13008.684
"409",2013-09-01,"NEIVA",13246.372
"410",2013-10-01,"NEIVA",15899.727
"411",2013-11-01,"NEIVA",14937.504
"412",2013-12-01,"NEIVA",15416.534
"413",2014-01-01,"NEIVA",14836.932
"414",2014-02-01,"NEIVA",13659.184
"415",2014-03-01,"NEIVA",15128.004
"416",2014-04-01,"NEIVA",15840.852
"417",2014-05-01,"NEIVA",10888.187
"418",2014-06-01,"NEIVA",12522.211
"419",2014-07-01,"NEIVA",14575.967
"420",2014-08-01,"NEIVA",14198.694
"421",2014-09-01,"NEIVA",12559.95
"422",2014-10-01,"NEIVA",13117.618
"423",2014-11-01,"NEIVA",15363.434
"424",2014-12-01,"NEIVA",15107.814
"425",2015-01-01,"NEIVA",15444.628
"426",2015-02-01,"NEIVA",17218.546
"427",2015-03-01,"NEIVA",8368.164
"428",2011-07-01,"OFIC. EL QUIMBO",376.33
"429",2011-12-01,"OFIC. EL QUIMBO",4398.18
"430",2012-01-01,"OFIC. EL QUIMBO",530
"431",2012-02-01,"OFIC. EL QUIMBO",1100.12
"432",2012-03-01,"OFIC. EL QUIMBO",3280.15
"433",2012-04-01,"OFIC. EL QUIMBO",6785.33
